,Team ID,Nickname,Year Founded,Team New ID,Team ID_drop,Team Name,Abbreviation,Nickname_drop,Team City,Team State,Year Founded_drop,Team ID_drop,Abbreviation_drop,Nickname_drop,Year Founded_drop,Team City_drop,Arena,Area Capacity,Owner,General Manager,Head Coach,Development League Affliation,Facebook,Instagram,Twitter,Team ID_drop,Team City_drop,Nickname_drop,Year Founded_drop,Team Active Until
35,1610612742,Mavericks,1980,94c3c8ecea81c93b36a48f4c6f50d633,1610612742,Dallas Mavericks,DAL,Mavericks,Dallas,Texas,1980.0,1610612742,DAL,Mavericks,1980,Dallas,American Airlines Center,19200.0,Mark Cuban,Donnie Nelson,Rick Carlisle,Texas Legends,https://www.facebook.com/dallasmavs,https://instagram.com/dallasmavs,https://twitter.com/dallasmavs,1610612742,Dallas,Mavericks,1980,2019
36,1610612743,Nuggets,1976,727bec13ef9d5024fddf3cc40fac54d2,1610612743,Denver Nuggets,DEN,Nuggets,Denver,Colorado,1976.0,1610612743,DEN,Nuggets,1976,Denver,Ball Arena,,Stan Kroenke,Tim Connelly,Michael Malone,No Affiliate,https://www.facebook.com/DenverNuggets,https://instagram.com/nuggets,https://twitter.com/nuggets,1610612743,Denver,Nuggets,1976,2019
37,1610612744,Warriors,1946,c68f090354dec4f30561f2d4b1594b0f,1610612744,Golden State Warriors,GSW,Warriors,Golden State,California,1946.0,1610612744,GSW,Warriors,1946,Golden State,Chase Center,,Joe Lacob,Bob Myers,Steve Kerr,Santa Cruz Warriors,https://www.facebook.com/warriors,https://instagram.com/warriors,https://twitter.com/warriors,1610612744,Philadelphia,Warriors,1946,1961
38,1610612745,Rockets,1967,d204455f109a77e8a3626c7f02729a72,1610612745,Houston Rockets,HOU,Rockets,Houston,Texas,1967.0,1610612745,HOU,Rockets,1967,Houston,Toyota Center,18104.0,Tilman Fertitta,Rafael Stone,Stephen Silas,Rio Grande Valley Vipers,https://www.facebook.com/houstonrockets,https://instagram.com/houstonrockets,https://twitter.com/HoustonRockets,1610612745,San Diego,Rockets,1967,1970
39,1610612746,Clippers,1970,a2c509a1a0d6bf2157c98c353ff42ab4,1610612746,Los Angeles Clippers,LAC,Clippers,Los Angeles,California,1970.0,1610612746,LAC,Clippers,1970,Los Angeles,STAPLES Center,19060.0,Steve Ballmer,Michael Winger,Tyronn Lue,Agua Caliente Clippers of Ontario,https://www.facebook.com/LAClippers,https://instagram.com/laclippers,https://twitter.com/LAClippers,,,,,
40,1610612747,Lakers,1948,f8753a5d99b05ae7a91cf5c2beba749a,1610612747,Los Angeles Lakers,LAL,Lakers,Los Angeles,California,1948.0,1610612747,LAL,Lakers,1948,Los Angeles,STAPLES Center,19060.0,Jerry Buss Family Trust,Rob Pelinka,Frank Vogel,South Bay Lakers,https://www.facebook.com/losangeleslakers,https://instagram.com/lakers,https://twitter.com/Lakers,1610612747,Minneapolis,Lakers,1948,1959
41,1610612748,Heat,1988,30da01c7d7fea7848dcd9aecb1d7f08e,1610612748,Miami Heat,MIA,Heat,Miami,Florida,1988.0,1610612748,MIA,Heat,1988,Miami,AmericanAirlines Arena,19600.0,Micky Arison,Pat Riley,Erik Spoelstra,Sioux Falls Skyforce,https://www.facebook.com/MiamiHeat,https://instagram.com/miamiheat,https://twitter.com/MiamiHEAT,1610612748,Miami,Heat,1988,2019
42,1610612749,Bucks,1968,72cb6ba181c246d12c08b02d5d2ae3bd,1610612749,Milwaukee Bucks,MIL,Bucks,Milwaukee,Wisconsin,1968.0,1610612749,MIL,Bucks,1968,Milwaukee,Fiserv Forum,17500.0,Wesley Edens & Marc Lasry,Jon Horst,Mike Budenholzer,Wisconsin Herd,https://www.facebook.com/milwaukeebucks,https://instagram.com/bucks,https://twitter.com/Bucks,1610612749,Milwaukee,Bucks,1968,2019
43,1610612750,Timberwolves,1989,fe0be218dca7dcc8671fb75dcb806653,1610612750,Minnesota Timberwolves,MIN,Timberwolves,Minnesota,Minnesota,1989.0,1610612750,MIN,Timberwolves,1989,Minnesota,Target Center,19356.0,Glen Taylor,Scott Layden,Chris Finch,Iowa Wolves,https://www.facebook.com/MNTimberwolves,https://instagram.com/timberwolves,https://twitter.com/Timberwolves,1610612750,Minnesota,Timberwolves,1989,2019
44,1610612751,Nets,1976,b45afb566488a7b2fa412184d6228e4b,1610612751,Brooklyn Nets,BKN,Nets,Brooklyn,New York,1976.0,1610612751,BKN,Nets,1976,Brooklyn,Barclays Center,,Joe Tsai,Sean Marks,Steve Nash,Long Island Nets,https://www.facebook.com/BrooklynNets,https://instagram.com/brooklynnets,https://twitter.com/BrooklynNets,1610612751,New York,Nets,1976,1976
45,1610612752,Knicks,1946,e1eb70890e469c4e797936747512518f,1610612752,New York Knicks,NYK,Knicks,New York,New York,1946.0,1610612752,NYK,Knicks,1946,New York,Madison Square Garden,19763.0,Cablevision (James Dolan),Leon Rose,Tom Thibodeau,Westchester Knicks,https://www.facebook.com/NYKnicks,https://instagram.com/nyknicks,https://twitter.com/nyknicks,1610612752,New York,Knicks,1946,2019
46,1610612753,Magic,1989,25bd3363d2d873f93a02fabb09e5164c,1610612753,Orlando Magic,ORL,Magic,Orlando,Florida,1989.0,1610612753,ORL,Magic,1989,Orlando,Amway Center,0.0,Rick DeVos,John Hammond,Steve Clifford,Lakeland Magic,https://www.facebook.com/OrlandoMagic,https://instagram.com/orlandomagic,https://twitter.com/OrlandoMagic,1610612753,Orlando,Magic,1989,2019
47,1610612754,Pacers,1976,ebef27c87fb44a1e942242ff07b0d815,1610612754,Indiana Pacers,IND,Pacers,Indiana,Indiana,1976.0,1610612754,IND,Pacers,1976,Indiana,Bankers Life Fieldhouse,18345.0,Herb Simon,Kevin Pritchard,Nate Bjorkgren,Fort Wayne Mad Ants,https://www.facebook.com/pacers,https://instagram.com/pacers,https://twitter.com/Pacers,1610612754,Indiana,Pacers,1976,2019
48,1610612755,76ers,1949,4b5cbc87e64f6410758b19626bbc739e,1610612755,Philadelphia 76ers,PHI,76ers,Philadelphia,Pennsylvania,1949.0,1610612755,PHI,76ers,1949,Philadelphia,Wells Fargo Center,,Joshua Harris,Elton Brand,Doc Rivers,Delaware Blue Coats,https://www.facebook.com/Sixers,https://instagram.com/sixers,https://twitter.com/Sixers,,,,,
49,1610612756,Suns,1968,c7414351eef62a4f4cd2710d21f07301,1610612756,Phoenix Suns,PHX,Suns,Phoenix,Arizona,1968.0,1610612756,PHX,Suns,1968,Phoenix,Phoenix Suns Arena,,Robert Sarver,James Jones,Monty Williams,Northern Arizona Suns,https://www.facebook.com/suns,https://instagram.com/suns,https://twitter.com/Suns,1610612756,Phoenix,Suns,1968,2019
50,1610612757,Trail Blazers,1970,13a89b0ed0874b7098bd61d7ba87fc12,1610612757,Portland Trail Blazers,POR,Trail Blazers,Portland,Oregon,1970.0,1610612757,POR,Trail Blazers,1970,Portland,Moda Center,19980.0,Paul Allen,Neil Olshey,Terry Stotts,No Affiliate,https://www.facebook.com/trailblazers,https://instagram.com/trailblazers,https://twitter.com/trailblazers,1610612757,Portland,Trail Blazers,1970,2019
51,1610612758,Kings,1948,792b205587333093fc1c55c13f81abea,1610612758,Sacramento Kings,SAC,Kings,Sacramento,California,1948.0,1610612758,SAC,Kings,1948,Sacramento,Golden 1 Center,17500.0,Vivek Ranadive,Monte McNair,Luke Walton,Stockton Kings,https://www.facebook.com/sacramentokings,https://instagram.com/sacramentokings,https://twitter.com/SacramentoKings,,,,,
52,1610612759,Spurs,1976,f0d230d1a4787427dfb8b723e0baa430,1610612759,San Antonio Spurs,SAS,Spurs,San Antonio,Texas,1976.0,1610612759,SAS,Spurs,1976,San Antonio,AT&T Center,18694.0,Peter Holt,Brian Wright,Gregg Popovich,Austin Spurs,https://www.facebook.com/Spurs,https://instagram.com/spurs,https://twitter.com/spurs,1610612759,San Antonio,Spurs,1976,2019
53,1610612760,Thunder,1967,e3b05c71ca4bd7599c53ad9f011c9946,1610612760,Oklahoma City Thunder,OKC,Thunder,Oklahoma City,Oklahoma,1967.0,1610612760,OKC,Thunder,1967,Oklahoma City,Chesapeake Energy Arena,,Clay Bennett,Sam Presti,Mark Daigneault,Oklahoma City Blue,https://www.facebook.com/OKCThunder,https://instagram.com/okcthunder,https://twitter.com/okcthunder,,,,,
54,1610612761,Raptors,1995,8e0fe064adddee32b8a74442de44f288,1610612761,Toronto Raptors,TOR,Raptors,Toronto,Ontario,1995.0,1610612761,TOR,Raptors,1995,Toronto,Amalie Arena,,Maple Leaf Sports and Entertainment,Masai Ujiri,Nick Nurse,Raptors 905,https://www.facebook.com/TorontoRaptors,https://instagram.com/raptors,https://twitter.com/Raptors,1610612761,Toronto,Raptors,1995,2019
55,1610612762,Jazz,1974,e6f60f797557bd3887ca99fe834fa0bf,1610612762,Utah Jazz,UTA,Jazz,Utah,Utah,1974.0,1610612762,UTA,Jazz,1974,Utah,Vivint Arena,,Ryan Smith,Dennis Lindsey,Quin Snyder,Salt Lake City Stars,https://www.facebook.com/utahjazz,https://instagram.com/utahjazz,https://twitter.com/utahjazz,1610612762,New Orleans,Jazz,1974,1978
56,1610612763,Grizzlies,1995,68e129f4e78b99a0bccbf5e665b56dea,1610612763,Memphis Grizzlies,MEM,Grizzlies,Memphis,Tennessee,1995.0,1610612763,MEM,Grizzlies,1995,Memphis,FedExForum,18119.0,Robert Pera,Zach Kleiman,Taylor Jenkins,Memphis Hustle,https://www.facebook.com/MemphisGrizzlies,https://instagram.com/memgrizz,https://twitter.com/memgrizz,1610612763,Vancouver,Grizzlies,1995,2000
57,1610612764,Wizards,1961,12827c84c0bbadb0184d512e7595a126,1610612764,Washington Wizards,WAS,Wizards,Washington,District of Columbia,1961.0,1610612764,WAS,Wizards,1961,Washington,Capital One Arena,20647.0,Ted Leonsis,Tommy Sheppard,Scott Brooks,Capital City Go-Go,https://www.facebook.com/Wizards,https://instagram.com/washwizards,https://twitter.com/WashWizards,,,,,
58,1610612765,Pistons,1948,c32af8cf1c4d26fe2a88157402ab8220,1610612765,Detroit Pistons,DET,Pistons,Detroit,Michigan,1948.0,1610612765,DET,Pistons,1948,Detroit,Little Caesars Arena,,Tom Gores,Ed Stefanski,Dwane Casey,Grand Rapids Drive,https://www.facebook.com/detroitpistons,https://instagram.com/detroitpistons,https://twitter.com/DetroitPistons,1610612765,Ft. Wayne Zollner,Pistons,1948,1956
59,1610612766,Hornets,1988,1f8fccf6aa01654085651e2f1ddedc78,1610612766,Charlotte Hornets,CHA,Hornets,Charlotte,North Carolina,1988.0,1610612766,CHA,Hornets,1988,Charlotte,Spectrum Center,19026.0,Michael Jordan,Mitch Kupchak,James Borrego,Greensboro Swarm,https://www.facebook.com/hornets,https://instagram.com/hornets,https://twitter.com/hornets,1610612766,Charlotte,Hornets,1988,2001
60,1610612737,Hawks,1968,9b6c4b287492cb97f6e9405338f3095f,,,,,,,,,,,,,,,,,,,,,,1610612737,Atlanta,Hawks,1968,2019
61,1610612737,Hawks,1955,095c587d7e0e9c67307f9dd2e08a964d,,,,,,,,,,,,,,,,,,,,,,1610612737,St. Louis,Hawks,1955,1967
62,1610612737,Hawks,1951,d83a39733cf87c03c5c9d49b8c2e616a,,,,,,,,,,,,,,,,,,,,,,1610612737,Milwaukee,Hawks,1951,1954
63,1610612737,Blackhawks,1949,0bfbac44665e4afddc28523f0dca57de,,,,,,,,,,,,,,,,,,,,,,1610612737,Tri-Cities,Blackhawks,1949,1950
64,1610612740,Pelicans,2013,7f056ec76fa877806dcb4d0c0931c968,,,,,,,,,,,,,,,,,,,,,,1610612740,New Orleans,Pelicans,2013,2019
65,1610612740,Hornets,2007,b5dfa85d9f4e5ac04b1938365a9c338e,,,,,,,,,,,,,,,,,,,,,,1610612740,New Orleans,Hornets,2007,2012
66,1610612740,Hornets,2005,5ecd74acce7a2ec150131d876cd37986,,,,,,,,,,,,,,,,,,,,,,1610612740,New Orleans/Oklahoma City,Hornets,2005,2006
67,1610612740,Hornets,2002,de9f582e93d65acde408fcc8d9cd4f7c,,,,,,,,,,,,,,,,,,,,,,1610612740,New Orleans,Hornets,2002,2004
68,1610612744,Warriors,1971,6cb6019cf8e5a9734c68859179bf67a0,,,,,,,,,,,,,,,,,,,,,,1610612744,Golden State,Warriors,1971,2019
69,1610612744,Warriors,1962,fa5c18471fdbdf0d9756a259bb5476c1,,,,,,,,,,,,,,,,,,,,,,1610612744,San Francisco,Warriors,1962,1970
70,1610612745,Rockets,1971,3f1cdc00647e9bedf30cc3855ed51d81,,,,,,,,,,,,,,,,,,,,,,1610612745,Houston,Rockets,1971,2019
71,1610612746,Clippers,1984,7ebf1f1e5c95e44e6c40ef8cb35737f6,,,,,,,,,,,,,,,,,,,,,,1610612746,Los Angeles,Clippers,1984,2019
72,1610612746,Clippers,1978,9ed371997a209f8c27152aae7abdd1a3,,,,,,,,,,,,,,,,,,,,,,1610612746,San Diego,Clippers,1978,1983
73,1610612746,Braves,1970,500678eca0fcece84068e857ad3d769b,,,,,,,,,,,,,,,,,,,,,,1610612746,Buffalo,Braves,1970,1977
74,1610612747,Lakers,1960,a491167c826c5efb1e62b77fb3cc4a19,,,,,,,,,,,,,,,,,,,,,,1610612747,Los Angeles,Lakers,1960,2019
75,1610612751,Nets,2012,94f40195e5e37881daa31f4f22ee6ecb,,,,,,,,,,,,,,,,,,,,,,1610612751,Brooklyn,Nets,2012,2019
76,1610612751,Nets,1977,d2c4283900a4ddc35dd1ec360921035d,,,,,,,,,,,,,,,,,,,,,,1610612751,New Jersey,Nets,1977,2011
77,1610612755,76ers,1963,a9933d27e572225a7ca4c193d425a1eb,,,,,,,,,,,,,,,,,,,,,,1610612755,Philadelphia,76ers,1963,2019
78,1610612755,Nationals,1949,dd3b40e67d251d303e35cc65eb895000,,,,,,,,,,,,,,,,,,,,,,1610612755,Syracuse,Nationals,1949,1962
79,1610612758,Kings,1985,03a1e39fac3a5b5acddd575d63826838,,,,,,,,,,,,,,,,,,,,,,1610612758,Sacramento,Kings,1985,2019
80,1610612758,Kings,1975,2478a4bc544a0221a7d2fff04a6faea2,,,,,,,,,,,,,,,,,,,,,,1610612758,Kansas City,Kings,1975,1984
81,1610612758,Kings,1972,9ce2688c255bdd0b3849a5d64046d62f,,,,,,,,,,,,,,,,,,,,,,1610612758,Kansas City-Omaha,Kings,1972,1974
82,1610612758,Royals,1957,433b3a482a763422f5c40d29a1d3ea6a,,,,,,,,,,,,,,,,,,,,,,1610612758,Cincinnati,Royals,1957,1971
83,1610612758,Royals,1948,eef5102930fb5e03873ab5dc344167e2,,,,,,,,,,,,,,,,,,,,,,1610612758,Rochester,Royals,1948,1956
84,1610612760,Thunder,2008,fbac9959d10bf3d0654d3c4e46206f6a,,,,,,,,,,,,,,,,,,,,,,1610612760,Oklahoma City,Thunder,2008,2019
85,1610612760,SuperSonics,1967,e4733f08f4742214d3bca4cb749c14d7,,,,,,,,,,,,,,,,,,,,,,1610612760,Seattle,SuperSonics,1967,2007
86,1610612762,Jazz,1979,04c4dd498e390bb6c3533afa98a36a74,,,,,,,,,,,,,,,,,,,,,,1610612762,Utah,Jazz,1979,2019
87,1610612763,Grizzlies,2001,4efd33fd92ae9b3f0d6ee1c600d12ae3,,,,,,,,,,,,,,,,,,,,,,1610612763,Memphis,Grizzlies,2001,2019
88,1610612764,Wizards,1997,816484825f7b27f5ea38d15466b9a945,,,,,,,,,,,,,,,,,,,,,,1610612764,Washington,Wizards,1997,2019
89,1610612764,Bullets,1974,45daa109c81cce9f0c10942af8dd57d1,,,,,,,,,,,,,,,,,,,,,,1610612764,Washington,Bullets,1974,1996
90,1610612764,Bullets,1973,3667995fbd9a83107f77b71380a21b96,,,,,,,,,,,,,,,,,,,,,,1610612764,Capital,Bullets,1973,1973
91,1610612764,Bullets,1963,77f76e607dba2a95e5c55467339b846a,,,,,,,,,,,,,,,,,,,,,,1610612764,Baltimore,Bullets,1963,1972
92,1610612764,Zephyrs,1962,6a0be10778fdd2d25c0ee001c610399b,,,,,,,,,,,,,,,,,,,,,,1610612764,Chicago,Zephyrs,1962,1962
93,1610612764,Packers,1961,0df7fba9c9da4445a604dbf57c67fbc4,,,,,,,,,,,,,,,,,,,,,,1610612764,Chicago,Packers,1961,1961
94,1610612765,Pistons,1957,58f3da3350447e5038e3d040983d93d2,,,,,,,,,,,,,,,,,,,,,,1610612765,Detroit,Pistons,1957,2019
95,1610612766,Hornets,2014,228cf9e497021b540437744e87ea4734,,,,,,,,,,,,,,,,,,,,,,1610612766,Charlotte,Hornets,2014,2019
96,1610612766,Bobcats,2004,65f84b9fb7932ec8967ec9ae99539575,,,,,,,,,,,,,,,,,,,,,,1610612766,Charlotte,Bobcats,2004,2013
